INDEX.

ix

Plate. Species.

variedentatus, Hartman ..... LXXXVI. 636

variegatus, Pfr. ........... XVI. 93

Varnensis, Frivaldsky ...... LXXV. 543

velatus, Brod. ............ XI. 57

velutinus, Pfr............. LV. 362

velutino-hispidus, Moric..... XXXII. 199

Venezuelensis, Nyst......... XXIV. 157

venosus, Reeve ............ XLV. 285

ventricosus, Drap. ........... LXIX. 499

ventrosus (Helix), Fér....... LXIX. 499

Veranyi, Pfr.............. XLII. 262

verecundus, Reeve ......... II. 62

versicolor, Brod. .......... XIX. 113

vexillum, Brod............ XXIII. 152

vibex, Hutton ............ XLVII. 299

vimineus (Helix), Mor. ..... XL. 246

Vincentinus, Pfr........... LV. 366

virens, Pfr. .............. VII. 32

virescens, Swainson ........ XXXI. 187

virgatus, Spix .......... XLVIII. 312

virginius, Brug............ XXXI. 191

virgulatus (Helix), Fér...... XLIX. 320

Plate. Species.

vitreus, Spix ............... XXXVIII. 231

Vitrinoides, Reeve ......... XLVI. 290

vittatus, Spix ............. XLIV. 279

vittatus, Brod. ............ XVIII. 105

Voithianus, Pfr. .......... XXI. 131

Wagneri, Pfr. .. ......... XXXVIII. 232

Woodianus, Lea .......... III. 11

xantholinus, Ziegler ........ L. 327

xanthostoma, Hohen........ LXI. 416

xanthostoma, D'Orb......... XLIII. 271

Yungasensis, D'Orb. ....... LXV. 456

zebra (Bucc.), Mull...... XV., XXVII. 90

zebra, Olivier ............. LXVI. 464

zebra, Spix............... XXX. 284

zebriolus (Helix), Fér....... LXVI. 464

Ziebmanni, Pfr. .......... LXX. 506

Ziegleri, Pfr.............. LVIII. 389

zigzag, Lam.............. XV. 90

zonatus, Swain............ XXXIX. 237

zonulatus, Pfr. ........... XIII. 58

zoographicus, D'Orbigny .... LXX. 509
